feature_class	feature	cohort	n	n_NR	n_R	auc_NR_high	median_NR	median_R	delta_median_NR_minus_R	logit_beta_per_sd	logit_se	logit_OR_per_sd	logit_p	mannwhitney_p	status	meta_tau2	meta_Q	meta_I2	logit_fdr
cell_fraction	Endothelial	GSE12251	23	11	12	0.6287878787878788	0.13966443023932656	0.12668159499093823	0.012982835248388336	0.2977952372480642	0.4374493066448955	1.3468859675643923	0.4960273464660633	0.3098652593617933	ok				0.5797722231421519
cell_fraction	Endothelial	GSE16879	61	33	28	0.5746753246753247	0.13912493042418503	0.13563847164131876	0.0034864587828662696	0.26700912863369497	0.2675342292334337	1.3060523687498973	0.31826129210329523	0.32148979931242117	ok				0.39782661512911904
cell_fraction	Endothelial	GSE23597	32	7	25	0.5485714285714285	0.13703862251495597	0.1316758658227835	0.0053627566921724545	0.23032076742988972	0.422518390692545	1.2590037925766209	0.5856749885146694	0.7213838025156157	ok				0.6672246704597499
cell_fraction	Endothelial	GSE73661	64	39	25	0.5169230769230769	0.154428213167861	0.15701743563672413	-0.002589222468863117	0.252392128064604	0.27556162322600186	1.287100646628145	0.3597093773783375	0.8257413351912647	ok				0.44347731457603257
cell_fraction	Endothelial	GSE92415	59	27	32	0.6203703703703705	0.13850803128577213	0.13208479813838567	0.0064232331473864646	0.35225700320580944	0.2799941518883659	1.4222740057305536	0.20836029343647267	0.115325164487837	ok				0.2757709766070962
cell_fraction	Endothelial	random_effects	239	117	122					0.28377177316052943	0.1404089623227149	1.3281297812982973	0.04327588703125609		ok_random_effects	0.0	0.09375155101479275	0.0	0.06999835064486024
cell_fraction	Epithelial	GSE12251	23	11	12	0.2803030303030303	0.25110768097134023	0.27091685319044445	-0.01980917221910422	-1.1622253374466436	0.6873068331935348	0.3127893439814758	0.09083972531263512	0.07942129814627645	ok				0.13856907251079933
cell_fraction	Epithelial	GSE16879	61	33	28	0.24675324675324675	0.28530039937522883	0.30863683428446936	-0.023336434909240533	-0.9866641987333704	0.3461876010285304	0.37281826669214374	0.004370750320176013	0.0007263173237897359	ok				0.017880342218901873
cell_fraction	Epithelial	GSE23597	32	7	25	0.2571428571428571	0.24246143784851848	0.26759598285422553	-0.025134545005707054	-1.222649398247888	0.5822580611934955	0.29444901987877464	0.035742822873352405	0.054181759409790545	ok				0.0606953595962588
cell_fraction	Epithelial	GSE73661	64	39	25	0.316923076923077	0.289770161453154	0.3061777579151697	-0.016407596462015728	-1.082784710831986	0.45266662917188677	0.33865116580098725	0.016756223728093777	0.014311253284365496	ok				0.048190210026787084
