gene	B_Plasma	Endothelial	Epithelial	Fibroblast	Mast	Myeloid	Stromal_other	T_NK
CSMD3	0.0038597316	0.009626492	0.004117137	0.033311978	0.0018975332	0.0029559562	0.0	0.002423296
CSNK1A1	0.18885282	0.52472055	0.31671107	0.4131604	0.22037396	0.27550215	0.41292343	0.26690215
CSNK1A1L	0.0019769357	0.011551791	0.009249409	0.00768738	0.0056926	0.004926594	0.0053390283	0.0032310612
CSNK1D	0.22961006	0.4333027	0.40282604	0.28928635	0.20502941	0.31533656	0.26516208	0.37674147
CSNK1E	0.28260425	0.59383833	0.3336272	0.4866175	0.07840822	0.12882587	0.5724951	0.10044676
CSNK1G1	0.08499439	0.22882804	0.18123688	0.14306137	0.08465723	0.14431073	0.10000041	0.115121275
CSNK1G2	0.103874095	0.30794698	0.28187627	0.16011171	0.03104865	0.22279447	0.10522381	0.23517372
CSNK1G3	0.16834897	0.32802084	0.27853137	0.24914004	0.111827664	0.15381491	0.16837187	0.1689715
CSNK2A1	0.17850864	0.45402968	0.35726264	0.3858503	0.17397809	0.2678055	0.33517262	0.18791568
CSNK2A2	0.1027181	0.33592147	0.24019179	0.18099539	0.09227896	0.19378668	0.15601255	0.12108775
CSNK2A3	0.0051768795	0.03465537	0.017229505	0.010180059	0.0075901328	0.0073898905	0.010678057	0.002423296
CSNK2B	0.48240772	0.80078256	0.76625985	0.7615851	0.3917903	0.70480454	0.6576306	0.45361453
CSPG4	0.0024896255	0.015402388	0.0008928281	0.10805124	0.0	0.0009853188	0.34951422	0.00094239286
CSPG5	0.0	0.0	0.0137958275	0.0	0.0	0.0	0.0	0.0
CSPP1	0.12838365	0.23829965	0.1509331	0.28648195	0.10498342	0.08913224	0.27057526	0.12981842
CSRNP1	0.346313	0.24070047	0.13536526	0.15907934	0.43556684	0.40816525	0.4132818	0.5131276
CSRNP2	0.0823334	0.24257204	0.11489936	0.17399421	0.1424342	0.086380154	0.16145416	0.078446545
CSRNP3	0.0043257545	0.020263487	0.06500022	0.20297745	0.0	0.002342997	0.1531853	0.0010770204
CSRP1	0.16116399	0.84738654	0.39632595	0.9735524	0.111757986	0.24628296	1.5915763	0.13384542
CSRP2	0.021671364	1.9689361	0.057949804	0.50702053	0.0142423045	0.027099844	2.2198777	0.009943698
CSRP2BP	0.049728706	0.13913111	0.1785593	0.118048295	0.032199692	0.07692799	0.0765762	0.060170833
CST1	0.0010355378	0.007701194	0.008057232	0.016228912	0.0	0.014287122	0.0053390283	0.0002692551
CST3	0.18840545	1.5263739	1.5177495	1.7252342	0.7874131	2.5589406	1.6121597	0.098128885
CST4	9.4139796e-05	0.0	0.0	0.0	0.0	0.0029559562	0.0	0.0
CST5	0.00028241938	0.0019252985	0.006848065	0.0034166132	0.0	0.006897231	0.0	0.0
CST6	0.07685239	0.0036370275	0.0017943616	0.0029612065	0.049335863	0.053986702	0.03428015	0.0005385102
CST7	0.03040814	0.014420396	0.0062644216	0.00975089	0.20673087	0.2901129	0.0159502	1.0794541
CSTA	0.014994526	0.0052922014	0.0149024315	0.01699041	0.009538358	2.3333983	0.007931189	0.009854324
CSTB	0.47817382	1.3343861	1.2676868	0.7766184	0.72367126	1.3461962	0.7020516	0.61488587
CSTF1	0.13480279	0.24726973	0.17620404	0.22229859	0.18702595	0.14203484	0.20064913	0.20463252
CSTF2	0.06651126	0.16692178	0.26955983	0.11658749	0.05648575	0.07299688	0.1052487	0.09675296
CSTF2T	0.13550653	0.32631034	0.18992266	0.18667093	0.16838086	0.16147345	0.20865722	0.23471256
CSTF3	0.12783252	0.2514096	0.33803278	0.3436592	0.12244076	0.18968123	0.326996	0.19513562
CSTF3-AS1	0.003765592	0.0	0.0	0.0	0.0	0.0014779781	0.0	0.0010770204
CTA-134P22.2	0.001412097	0.2656912	0.0	0.0008541533	0.0	0.0009853188	0.0	0.0005385102
CTA-14H9.5	0.01682756	0.11523267	0.04744892	0.106809735	0.013282732	0.034375466	0.021356113	0.0059236125
CTA-150C2.13	0.0	0.0	0.0014409914	0.0	0.0	0.0	0.0	0.0
CTA-204B4.2	0.04264873	0.1251768	0.07862905	0.0947269	0.020872865	0.050275736	0.076151945	0.05359534
CTA-211A9.5	0.08446629	0.075706944	0.07927255	0.07480556	0.02570081	0.07370678	0.036278017	0.11545356
CTA-217C2.1	0.09720185	0.20252022	0.08776748	0.13752633	0.04391779	0.21227545	0.022787023	0.07240947
CTA-221G9.11	0.009142029	0.007701194	0.07472436	0.008541533	0.0056926	0.0039225915	0.016017085	0.0052504744
CTA-221G9.7	0.0	0.0	0.0028819828	0.0	0.0	0.0	0.0	0.0
CTA-228A9.3	0.0	0.0	0.002521735	0.0	0.0	0.0	0.0	0.0
