gene	B_Plasma	Endothelial	Epithelial	Fibroblast	Mast	Myeloid	T_NK
CTD-2298J14.2	0.0011516757	0.010346611	0.0	0.02811245	0.0	0.0	0.00044029587
LRFN5	0.0011516757	0.031039834	0.0	0.0562249	0.0	0.0	0.0
RP11-313C4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-214N1.1	0.00028791893	0.0	0.0	0.0	0.0	0.0	0.0
RP11-305B6.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-99L13.2	0.0	0.0051733055	0.0028417164	0.0	0.0	0.0	0.00022014794
RP11-99L13.1	0.0	0.0	0.0028417164	0.0	0.0	0.0	0.0
FSCB	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-163M18.1	0.0	0.0	0.0	0.0	0.0	0.0	0.00022014794
RP11-398E10.1	0.0	0.0	0.012787724	0.0	0.0	0.0	0.0
RP11-857B24.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C14ORF28	0.10788099	0.19147	0.13467072	0.17284647	0.06776901	0.0732933	0.06339122
RP11-857B24.5	0.00057583785	0.010346611	0.0	0.0	0.0	0.0	0.00022014794
KLHL28	0.123054385	0.20937708	0.14668803	0.1655055	0.08330163	0.12104412	0.24119583
FAM179B	0.17478903	0.3340941	0.13208897	0.3333658	0.18147698	0.12726913	0.14030333
CTD-3028N15.3	0.00028791893	0.0	0.0	0.0	0.0	0.0	0.0
CTD-3028N15.1	0.00086375675	0.0	0.0042625745	0.0	0.0	0.0014865467	0.0006604438
PRPF39	0.08837776	0.23057614	0.1826864	0.19550548	0.06833382	0.121999644	0.114584595
FKBP3	0.24743375	0.5668764	0.67379755	0.512227	0.17049892	0.36511603	0.3195653
FANCM	0.05061727	0.25575274	0.07562642	0.099959716	0.089535974	0.05098491	0.055696275
MIS18BP1	0.29605258	0.51858217	0.20627856	0.21172346	0.35346168	0.83033407	0.30249467
RP11-454K7.3	0.0014395947	0.0051733055	0.0014208582	0.0	0.0	0.0014865467	0.00044029587
RP11-454K7.1	0.0	0.0	0.0	0.0	0.0	0.0014865467	0.00022014794
RP11-945F5.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-369C8.1	0.0	0.0	0.0042625745	0.0	0.0	0.0	0.0
LINC00871	0.0	0.0	0.0028417164	0.0	0.0	0.0	0.0
RPL10L	0.14779742	0.15306789	0.12581341	0.08031573	0.09145444	0.19267021	0.18653974
MDGA2	0.00028791893	0.0	0.0014208582	0.004016064	0.009259259	0.0014865467	0.00022014794
LINC00648	0.0	0.0	0.0014208582	0.0	0.0	0.0	0.00022014794
RP11-2G1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-816J8.1	0.0	0.0051733055	0.0	0.0	0.0	0.0	0.0
RPS29	1.4919157	1.4197991	1.7789762	1.2068889	1.5357248	1.7528931	2.1272297
LRR1	0.0829777	0.18218355	0.35260102	0.09061986	0.10553407	0.16375472	0.11019675
RPL36AL	1.2949321	1.2138734	1.3240815	1.1680768	1.3543866	1.282386	1.4652392
MGAT2	0.23561555	0.3136207	0.25958842	0.29047146	0.3345478	0.27706578	0.19684674
RP11-649E7.5	0.07191354	0.0	0.014351876	0.011581326	0.046296295	0.00764634	0.032834806
DNAAF2	0.15135767	0.18801898	0.25488245	0.16810921	0.16373126	0.113779314	0.17552924
POLE2	0.03339421	0.10327866	0.171308	0.045302078	0.018518519	0.03466255	0.026136743
KLHDC1	0.06921537	0.21465372	0.064940706	0.2067464	0.034609206	0.057443954	0.05857627
RP11-831F12.2	0.003455027	0.0	0.0042625745	0.004016064	0.009259259	0.0029730934	0.0015410356
KLHDC2	0.25314295	0.36627403	0.5269556	0.49903688	0.17455156	0.17117791	0.26700848
NEMF	0.28313744	0.63843906	0.40151408	0.48288012	0.31265953	0.40712672	0.33784854
